District ID|SAU|School Year|Total Count
1239|RSU 45/MSAD 45|2014-15|34
1243|RSU 49/MSAD 49|2014-15|193
3199|RSU 50|2014-15|64
1245|RSU 51/MSAD 51|2014-15|186
1246|RSU 52/MSAD 52|2014-15|174
1247|RSU 53/MSAD 53|2014-15|57
1248|RSU 54/MSAD 54|2014-15|217
1249|RSU 55/MSAD 55|2014-15|106
1251|RSU 57/MSAD 57|2014-15|234
1252|RSU 58/MSAD 58|2014-15|77
1253|RSU 59/MSAD 59|2014-15|62
1254|RSU 60/MSAD 60|2014-15|258
1255|RSU 61/MSAD 61|2014-15|185
1257|RSU 63/MSAD 63|2014-15|54
1258|RSU 64/MSAD 64|2014-15|101
3175|RSU 67|2014-15|92
1261|RSU 68/MSAD 68|2014-15|50
1262|RSU 70/MSAD 70|2014-15|46
1264|RSU 72/MSAD 72|2014-15|77
3198|RSU 73|2014-15|133
1265|RSU 74/MSAD 74|2014-15|64
1266|RSU 75/MSAD 75|2014-15|250
3184|RSU 78|2014-15|24
1196|RSU 79/MSAD 01|2014-15|126
1198|RSU 80/MSAD 04|2014-15|53
1206|RSU 82/MSAD 12|2014-15|17
1207|RSU 83/MSAD 13|2014-15|29
1208|RSU 84/MSAD 14|2014-15|15
1213|RSU 85/MSAD 19|2014-15|12
1214|RSU 86/MSAD 20|2014-15|45
1217|RSU 87/MSAD 23|2014-15|54
1218|RSU 88/MSAD 24|2014-15|27
1146|Saco|2014-15|167
1148|Sanford|2014-15|242
1149|Scarborough|2014-15|265
1150|Sedgwick|2014-15|12
1153|South Bristol|2014-15|9
1155|South Portland|2014-15|298
1154|Southport|2014-15|5
1156|Southwest Harbor|2014-15|20
1159|Surry|2014-15|15
1162|Tremont|2014-15|19
1163|Trenton|2014-15|18
1165|Vanceboro|2014-15|2
1166|Vassalboro|2014-15|37
1167|Veazie|2014-15|20
1336|Washington Academy|2014-15|34
1170|Waterville|2014-15|148
1293|Wells-Ogunquit CSD|2014-15|122
1173|Wesley|2014-15|1
1175|Westbrook|2014-15|212
3138|Whiting|2014-15|7
1183|Winslow Schools|2014-15|108
1185|Winthrop|2014-15|75
1186|Wiscasset|2014-15|69
1187|Woodland|2014-15|14
1190|Yarmouth Schools|2014-15|130
1191|York|2014-15|158
